"","source_id","source_url","source_title","eissn","issn_print","is_diamond","jjps_status","country"
"169",1406,"https://www.ajol.info/index.php/gjes","Global Journal of Environmental Sciences","1596-6194",NA,1,"Inactive Title","Nigeria"
"170",1079,"https://www.ajol.info/index.php/gjgs","Global Journal of Geological Sciences","2992-4502","1596-6798",1,"1 Star","Nigeria"
"171",1407,"https://www.ajol.info/index.php/gjh","Global Journal of Humanities","1596-6232",NA,1,"Inactive Title","Nigeria"
"172",1408,"https://www.ajol.info/index.php/gjmas","Global Journal of Mathematical Sciences","1596-6208",NA,1,"Inactive Title","Nigeria"
"173",1409,"https://www.ajol.info/index.php/gjms","Global Journal of Medical Sciences","1596-2911",NA,1,"Inactive Title","Nigeria"
"174",1080,"https://www.ajol.info/index.php/gjpas","Global Journal of Pure and Applied Sciences","2992-4464","1118-0579",1,"1 Star","Nigeria"
"175",1081,"https://www.ajol.info/index.php/gjss","Global Journal of Social Sciences","2992-4472","1596-6216",1,"1 Star","Nigeria"
"176",1082,"https://www.ajol.info/index.php/gijmss","Gusau International Journal of Management and Social Sciences",NA,NA,1,"1 Star","Nigeria"
"177",1616,"https://www.ajol.info/index.php/hpjsmt","HAFED POLY Journal of Science, Management and Technology","2811-2598","1597-7463",1,"No Stars","Nigeria"
"178",1546,"https://www.ajol.info/index.php/hjhr","Haki Journal of Human Rights","2789-9845","2789-9837",1,"New Title","Kenya"
"179",1083,"https://www.ajol.info/index.php/hlr","Haramaya Law Review","2305-3739","2227-2178",1,"1 Star","Ethiopia"
"180",1084,"https://www.ajol.info/index.php/hsa","Health SA Gesondheid","2071-9736","1025-9848",1,"1 Star","South Africa"
"181",1264,"https://www.ajol.info/index.php/hsij","Health Sciences Investigations Journal","2704-4890","2720-7609",1,"2 Stars","Ghana"
"182",1617,"https://www.ajol.info/index.php/hmrj","Highland Medical Research Journal","1596-2407",NA,1,"No Stars","Nigeria"
"183",1085,"https://www.ajol.info/index.php/hajbe","Horn of Africa Journal of Business and Economics","2617-0086","2617-0078",1,"1 Star","Ethiopia"
"184",1086,"https://www.ajol.info/index.php/hts","HTS Teologiese Studies / Theological Studies","2072-8050","0259-9422",1,"1 Star","South Africa"
"185",1618,"https://www.ajol.info/index.php/huria","Huria: Journal of the Open University of Tanzania","0856-6739",NA,1,"No Stars","Tanzania"
"186",1266,"https://www.ajol.info/index.php/ibom","Ibom Medical Journal","2735-9964","1597-7188",1,"2 Stars","Nigeria"
"187",1620,"https://www.ajol.info/index.php/ijs","Ife Journal of Science","3026-8583","0794-4896",1,"No Stars","Nigeria"
"188",1547,"https://www.ajol.info/index.php/iuojops","Igbinedion University Okada Journal of Pharmaceutical Sciences","2992-5746","2992-5339",1,"New Title","Nigeria"
"189",1708,"https://www.ajol.info/index.php/ijrs","Ilorin Journal of Religious Studies",NA,"2141-7040",1,"Pending","Nigeria"
"190",1088,"https://www.ajol.info/index.php/ipjp","Indo-Pacific Journal of Phenomenology","1445-7377","2079-7222",1,"1 Star","South Africa"
"191",1267,"https://www.ajol.info/index.php/iijikm","Information Impact: Journal of Information and Knowledge Management","2360-994X","2141-4297",1,"2 Stars","Nigeria"
"192",1412,"https://www.ajol.info/index.php/tim","Information Manager (The)","1596-5422",NA,1,"Inactive Title","Nigeria"
"193",1090,"https://www.ajol.info/index.php/ijhss","Inkanyiso: Journal of Humanities and Social Sciences","2077-8317","2077-2815",1,"1 Star","South Africa"
"194",1092,"https://www.ajol.info/index.php/idrj","International Diplomatic Review Journal","2773-658X",NA,1,"1 Star","Tanzania"
"195",1268,"https://www.ajol.info/index.php/ijahe","International Journal of African Higher Education","2313-5069",NA,1,"2 Stars","South Africa"
